"","X","bo_year_rank","worldwidegross","domesticgross","overseasgross","runtimeMinutes","averageRating","numVotes","Hcluster","km.cluster","numVotes_sq","bo_and_num"
"190",365,29,349500000,172000000,177600000,130,6.8,60598,"3","7",3672117604,1757342
"191",366,29,334900000,45500000,289400000,72,6.6,23,"7","7",529,667
"192",367,29,147100000,69800000,77300000,99,6.5,170161,"4","4",28954765921,4934669
"193",368,29,177400000,105800000,71600000,116,6.4,193865,"3","2",37583638225,5622085
"194",369,29,171300000,126300000,45000000,96,5.8,128601,"4","4",16538217201,3729429
"195",370,29,161500000,76200000,85200000,110,5.4,86932,"4","4",7557172624,2521028
"196",371,29,284100000,73100000,211100000,132,6.6,244101,"3","7",59585298201,7078929
"197",372,29,1.63e+08,70300000,92700000,129,5.9,74735,"3","2",5585320225,2167315
"198",373,29,175400000,93500000,81900000,97,7.4,216651,"3","2",46937655801,6282879
"199",374,29,219400000,80300000,139100000,99,6.1,158587,"4","7",25149836569,4599023
"200",375,29,214100000,97100000,117000000,140,7,263922,"3","6",69654822084,7653738
"201",376,29,216200000,100300000,115900000,92,5.6,183064,"4","4",33512428096,5308856
"202",377,30,122100000,54700000,67400000,93,5.4,23536,"5","4",553943296,706080
"203",378,30,302900000,12400000,290500000,161,8.4,128506,"2","2",16513792036,3855180
"204",379,30,144100000,39800000,104300000,119,6.7,210788,"3","2",44431580944,6323640
"205",380,30,1.7e+08,65000000,105000000,77,5.4,46395,"5","4",2152496025,1391850
"206",381,30,1.43e+08,62400000,80700000,126,7.1,137070,"3","2",18788184900,4112100
"207",382,30,176100000,106100000,69900000,111,7,325460,"3","6",105924211600,9763800
"208",384,30,173400000,100500000,73000000,96,5.4,132079,"4","4",17444862241,3962370
"209",385,30,268400000,107500000,160900000,102,6.7,96035,"3","7",9222721225,2881050
"210",386,30,212900000,110100000,102800000,99,6,83398,"4","4",6955226404,2501940
"211",388,30,276100000,113200000,162900000,135,6.7,271167,"3","7",73531541889,8135010
"212",389,30,252300000,171200000,81000000,110,7.6,288093,"3","7",82997576649,8642790
"213",390,30,270700000,150200000,120500000,97,6.3,269192,"3","7",72464332864,8075760
"214",391,30,246200000,130200000,116100000,88,7.1,39625,"3","7",1570140625,1188750
"215",392,31,321100000,85100000,236000000,130,8.2,239915,"3","6",57559207225,7437365
"216",393,31,119900000,1600000,118400000,111,7.1,2141,"6","2",4583881,66371
"217",394,31,1.73e+08,95600000,77400000,154,7.2,133251,"3","1",17755829001,4130781
"218",395,31,136700000,115700000,21100000,113,7.8,186199,"3","2",34670067601,5772169
"219",396,31,141800000,96500000,45300000,96,6.2,168661,"4","4",28446532921,5228491
"220",397,31,165300000,91000000,74300000,92,5.5,124253,"4","4",15438808009,3851843
"221",398,31,1.72e+08,88100000,83900000,90,5.9,119602,"4","4",14304638404,3707662
"222",399,31,154700000,82900000,71800000,101,5.5,52956,"5","4",2804337936,1641636
"223",400,31,275300000,182200000,93100000,150,7.3,231172,"3","6",53440493584,7166332
"224",401,31,211300000,49600000,161800000,165,6.6,114679,"3","1",13151273041,3555049
"225",403,31,205300000,88900000,116400000,96,6.4,192335,"4","7",36992752225,5962385
"226",404,31,260500000,89300000,171200000,150,6.4,210828,"3","7",44448445584,6535668
"227",405,31,211800000,83600000,128300000,116,5.7,168077,"4","7",28249877929,5210387
"228",406,31,244900000,78700000,166100000,105,5.6,121773,"4","7",14828663529,3774963
"229",407,31,299500000,77000000,222400000,113,6.2,81925,"3","7",6711705625,2539675
"230",408,32,304900000,68400000,236400000,102,5.8,86745,"3","7",7524695025,2775840
"231",409,32,119600000,45200000,74300000,85,5.8,5954,"5","4",35450116,190528
"232",410,32,1.55e+08,82300000,72700000,117,6.7,189085,"3","2",35753137225,6050720
"233",411,32,141200000,71300000,69900000,83,5.3,140231,"5","4",19664733361,4487392
"234",412,32,164700000,132700000,32000000,105,5.6,33467,"4","4",1120040089,1070944
"235",413,32,170300000,88200000,82000000,101,6.1,132867,"4","4",17653639689,4251744
"236",414,32,147700000,87000000,60700000,93,6.6,220034,"4","4",48414961156,7041088
"237",416,32,200300000,83100000,117200000,121,7.1,216062,"3","2",46682787844,6913984
"238",417,32,245500000,79700000,165800000,113,6.2,232842,"3","7",54215396964,7450944
"239",420,32,2.57e+08,84300000,172800000,99,5.4,127420,"3","7",16235856400,4077440
"240",421,33,154900000,94000000,60900000,105,5.2,79674,"5","4",6347946276,2629242
"241",422,33,141100000,70800000,70200000,114,5.9,121781,"4","4",14830611961,4018773
"242",423,33,164400000,104300000,60100000,92,5.5,59533,"4","4",3544178089,1964589
"243",424,33,170100000,57900000,112200000,106,6.1,41007,"4","4",1681574049,1353231
"244",425,33,169300000,97800000,71500000,95,6.8,81043,"4","4",6567967849,2674419
"245",426,33,144200000,75100000,69100000,119,6.7,112147,"6","2",12576949609,3700851
"246",428,33,2.07e+08,104000000,103000000,83,5.8,86377,"4","4",7460986129,2850441
"247",429,33,2.47e+08,133700000,113300000,101,5.4,130782,"3","7",17103931524,4315806
"248",430,33,305900000,132400000,173500000,113,8,116025,"3","7",13461800625,3828825
"249",431,33,235700000,110800000,124800000,119,7,216430,"3","7",46841944900,7142190
"250",432,34,296100000,84400000,211700000,108,6.7,41735,"3","7",1741810225,1418990
"251",433,34,127700000,77100000,50500000,116,6.6,73199,"6","2",5358093601,2488766
"252",434,34,130500000,41400000,89200000,101,7,163327,"4","8",26675708929,5553118
"253",435,34,160800000,110200000,50600000,97,6.1,116687,"4","4",13615855969,3967358
"254",436,34,1.94e+08,100000000,94000000,84,5.9,50025,"4","4",2502500625,1700850
"255",437,34,144100000,66000000,78100000,101,4.8,42634,"5","3",1817657956,1449556
"256",438,34,154900000,103400000,51600000,130,6.5,65008,"3","2",4226040064,2210272
"257",439,34,159300000,95700000,63600000,102,4,63883,"5","3",4081037689,2172022
"258",441,34,186200000,66500000,119700000,82,5.2,90424,"5","4",8176499776,3074416
"259",442,34,243800000,60500000,183300000,100,4.8,183418,"3","4",33642162724,6236212
"260",443,35,228100000,1300000,226800000,104,6.7,1836,"3","4",3370896,64260
"261",444,35,111800000,39700000,72100000,97,6.5,4033,"5","4",16265089,141155
"262",445,35,131700000,91100000,40600000,112,6.2,54474,"4","4",2967416676,1906590
"263",446,35,124700000,75800000,49000000,125,6.8,97736,"6","2",9552325696,3420760
"264",447,35,160600000,28100000,132500000,88,6.2,139087,"4","4",19345193569,4868045
"265",448,35,167300000,34300000,133000000,175,5.6,155735,"7","1",24253390225,5450725
"266",449,35,142400000,46500000,95900000,129,5.9,87157,"3","2",7596342649,3050495
"267",451,35,156800000,53700000,103100000,126,7,192804,"3","2",37173382416,6748140
"268",452,35,178100000,101400000,76600000,118,6.6,168404,"3","2",28359907216,5894140
"269",453,35,2.35e+08,57000000,178000000,113,6.7,193854,"3","7",37579373316,6784890
"270",454,35,239300000,90300000,149000000,91,5.7,40290,"4","4",1623284100,1410150
"271",456,35,240800000,125100000,115700000,96,7.4,208354,"3","7",43411389316,7292390
"272",457,36,2.36e+08,169600000,66300000,127,7.8,175663,"3","7",30857489569,6323868
"273",458,36,119800000,68500000,51200000,93,6.4,149796,"4","4",22438841616,5392656
"274",459,36,123700000,56800000,66900000,96,6,113827,"5","4",12956585929,4097772
"275",460,36,154600000,51300000,103400000,143,7.3,110708,"3","2",12256261264,3985488
"276",462,36,131400000,63300000,68100000,102,4.8,65872,"5","3",4339120384,2371392
"277",463,36,183600000,80000000,103600000,121,6.2,210511,"3","2",44314881121,7578396
"278",464,36,185800000,73900000,111900000,126,7.5,287371,"3","6",82582091641,10345356
"279",465,36,170800000,80000000,90700000,85,7,354647,"3","7",125774494609,12767292
"280",466,36,211800000,100500000,111200000,95,6.5,306890,"3","7",94181472100,11048040
"281",467,36,9.5e+07,35400000,59600000,93,5.4,21108,"5","4",445547664,759888
"282",468,36,274700000,58300000,216400000,119,6.3,169122,"3","7",28602250884,6088392
"283",470,36,222800000,92200000,130600000,106,7,237101,"3","7",56216884201,8535636
"284",471,36,229900000,159600000,70300000,117,6.6,154991,"3","7",24022210081,5579676
"285",473,37,92500000,74200000,18300000,90,6.9,13280,"4","8",176358400,491360
"286",474,37,113900000,60800000,53100000,100,5.7,101830,"5","4",10369348900,3767710
"287",475,37,113600000,71100000,42500000,124,6.8,114082,"6","2",13014702724,4221034
"288",476,37,140200000,73700000,66500000,91,6.6,91229,"4","4",8322730441,3375473
"289",477,37,130400000,47400000,83000000,164,7.5,200410,"3","1",40164168100,7415170
"290",478,37,218300000,80100000,138300000,130,7,288142,"3","6",83025812164,10661254
"291",479,37,168200000,70000000,98200000,123,7.6,271314,"3","2",73611286596,10038618
"292",480,37,217100000,56300000,160800000,92,6.3,166741,"4","4",27802561081,6169417
"293",481,37,204600000,80600000,124000000,133,5.8,79128,"3","2",6261240384,2927736
"294",482,37,209200000,93400000,115700000,130,6.4,163110,"3","2",26604872100,6035070
"295",483,38,91400000,64700000,26700000,108,6.4,16687,"8","4",278455969,634106
"296",484,38,254200000,363000,253800000,107,5.2,7796,"3","4",60777616,296248
"297",485,38,105200000,74100000,31100000,104,6.4,69699,"4","4",4857950601,2648562
"298",486,38,112900000,53300000,59500000,98,6.7,214104,"4","8",45840522816,8135952
"299",488,38,148300000,120300000,28100000,140,7.3,63636,"3","2",4049540496,2418168
"300",489,38,140200000,85400000,54700000,87,7,72261,"4","8",5221652121,2745918
"301",490,38,163700000,120100000,43600000,88,5.6,58667,"4","4",3441816889,2229346
"302",491,38,129200000,82600000,46600000,94,5.5,51162,"5","4",2617550244,1944156
"303",492,38,201600000,100200000,101300000,80,4.6,19179,"5","3",367834041,728802
